time,all_num_中国海诚,all_dic_score,中国海诚舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2021-01-01,2,0.00,-0.55,1,1.00,1,-1.00
2021-01-02,1,1.00,1.00,1,1.00,0,0.00
2021-01-03,1,1.00,1.00,1,1.00,0,0.00
2021-01-04,2,2.00,1.00,2,2.00,0,0.00
2021-01-05,2,0.00,-0.09,1,1.00,1,-1.00
2021-01-06,3,3.00,1.00,3,3.00,0,0.00
2021-01-07,3,1.00,0.45,2,2.00,1,-1.00
2021-01-08,4,2.00,0.54,3,3.00,1,-1.00
2021-01-10,1,1.00,1.00,1,1.00,0,0.00
2021-01-11,6,-2.00,-0.44,2,2.00,4,-4.00
2021-01-12,7,-1.00,-0.49,3,3.00,4,-4.00
2021-01-13,13,-9.00,-0.61,2,2.00,11,-11.00
2021-01-14,3,-1.00,-0.16,1,1.00,2,-2.00
2021-01-15,2,2.00,1.00,2,2.00,0,0.00
2021-01-17,2,0.00,-0.07,1,1.00,1,-1.00
2021-01-18,2,2.00,1.00,2,2.00,0,0.00
2021-01-19,1,1.00,1.00,1,1.00,0,0.00
2021-01-20,3,3.00,1.00,3,3.00,0,0.00
2021-01-21,4,2.00,0.62,3,3.00,1,-1.00
2021-01-22,2,2.00,1.00,2,2.00,0,0.00
2021-01-24,1,1.00,1.00,1,1.00,0,0.00
2021-01-25,1,1.00,1.00,1,1.00,0,0.00
2021-01-26,2,2.00,1.00,2,2.00,0,0.00
2021-01-27,1,1.00,1.00,1,1.00,0,0.00
2021-01-28,1,1.00,1.00,1,1.00,0,0.00
2021-01-29,2,-2.00,-1.00,0,0.00,2,-2.00
2021-01-31,1,1.00,1.00,1,1.00,0,0.00
2021-02-01,5,1.00,0.37,3,3.00,2,-2.00
2021-02-02,2,2.00,1.00,2,2.00,0,0.00
2021-02-03,14,6.00,0.66,10,10.00,4,-4.00
2021-02-04,90,0.00,0.07,45,45.00,45,-45.00
2021-02-05,77,-29.00,-0.32,24,24.00,53,-53.00
2021-02-06,18,-6.00,-0.48,6,6.00,12,-12.00
2021-02-07,44,-8.00,-0.14,18,18.00,26,-26.00
2021-02-08,68,-16.00,-0.21,26,26.00,42,-42.00
2021-02-09,31,7.00,0.46,19,19.00,12,-12.00
2021-02-10,17,-3.00,0.03,7,7.00,10,-10.00
2021-02-11,2,-2.00,-1.00,0,0.00,2,-2.00
2021-02-14,3,-3.00,-1.00,0,0.00,3,-3.00
2021-02-16,1,1.00,1.00,1,1.00,0,0.00
2021-02-17,4,-2.00,-0.18,1,1.00,3,-3.00
2021-02-18,8,2.00,0.25,5,5.00,3,-3.00
2021-02-19,5,1.00,0.01,3,3.00,2,-2.00
2021-02-21,1,-1.00,-1.00,0,0.00,1,-1.00
2021-02-22,3,-1.00,-0.76,1,1.00,2,-2.00
2021-02-23,1,-1.00,-1.00,0,0.00,1,-1.00
2021-02-24,3,1.00,0.80,2,2.00,1,-1.00
2021-02-25,2,0.00,0.79,1,1.00,1,-1.00
2021-02-26,3,1.00,0.78,2,2.00,1,-1.00
2021-02-27,3,1.00,0.54,2,2.00,1,-1.00
2021-03-01,7,-1.00,0.49,3,3.00,4,-4.00
2021-03-02,1,1.00,1.00,1,1.00,0,0.00
2021-03-03,3,-3.00,-1.00,0,0.00,3,-3.00
2021-03-04,2,0.00,0.75,1,1.00,1,-1.00
2021-03-07,2,0.00,0.20,1,1.00,1,-1.00
2021-03-08,1,1.00,1.00,1,1.00,0,0.00
2021-03-09,2,0.00,0.67,1,1.00,1,-1.00
2021-03-11,6,2.00,0.44,4,4.00,2,-2.00
